source,reference
"India is a country full of diversity.","India es un país lleno de diversidad."
"The student submitted the application yesterday.","El estudiante presentó la solicitud ayer."
"Education is the key to success.","La educación es la clave del éxito."
"Please read the instructions carefully.","Por favor, lea las instrucciones cuidadosamente."
"The weather is very pleasant today.","El clima es muy agradable hoy."
"She is going to the library.","Ella va a la biblioteca."
"Water is essential for life.","El agua es esencial para la vida."
"The examination will be held next week.","El examen se realizará la próxima semana."
"He completed his homework on time.","Él completó su tarea a tiempo."
"The train arrives at the station at 5 PM.","El tren llega a la estación a las 5 de la tarde."
