source,reference
"भारत विविधता से भरा देश है।","India is a country full of diversity."
"छात्र ने कल आवेदन जमा किया।","The student submitted the application yesterday."
"शिक्षा सफलता की कुंजी है।","Education is the key to success."
"कृपया निर्देशों को ध्यान से पढ़ें।","Please read the instructions carefully."
"आज मौसम बहुत सुहावना है।","The weather is very pleasant today."
"वह पुस्तकालय जा रही है।","She is going to the library."
"पानी जीवन के लिए आवश्यक है।","Water is essential for life."
"परीक्षा अगले सप्ताह होगी।","The examination will be held next week."
"उसने अपना गृहकार्य समय पर पूरा किया।","He completed his homework on time."
"ट्रेन शाम 5 बजे स्टेशन पर पहुँचती है।","The train arrives at the station at 5 PM."
