source,reference
"India is a country full of diversity.","ભારત વિવિધતાથી ભરેલો દેશ છે."
"The student submitted the application yesterday.","વિદ્યાર્થીએ ગઈકાલે અરજી સબમિટ કરી."
"Education is the key to success.","શિક્ષણ એ સફળતાની ચાવી છે."
"Please read the instructions carefully.","કૃપા કરીને સૂચનાઓ ધ્યાનથી વાંચો."
"The weather is very pleasant today.","આજે હવામાન ખૂબ જ સુખદ છે."
"She is going to the library.","તે પુસ્તકાલયમાં જઈ રહી છે."
"Water is essential for life.","જીવન માટે પાણી આવશ્યક છે."
"The examination will be held next week.","પરીક્ષા આવતા અઠવાડિયે યોજાશે."
"He completed his homework on time.","તેણે સમયસર પોતાનું ગૃહકાર્ય પૂર્ણ કર્યું."
"The train arrives at the station at 5 PM.","ટ્રેન સાંજે 5 વાગ્યે સ્ટેશન પર પહોંચે છે."
