source,reference
"India is a country full of diversity.","L'Inde est un pays plein de diversité."
"The student submitted the application yesterday.","L'étudiant a soumis la candidature hier."
"Education is the key to success.","L'éducation est la clé du succès."
"Please read the instructions carefully.","Veuillez lire attentivement les instructions."
"The weather is very pleasant today.","Le temps est très agréable aujourd'hui."
"She is going to the library.","Elle va à la bibliothèque."
"Water is essential for life.","L'eau est essentielle à la vie."
"The examination will be held next week.","L'examen aura lieu la semaine prochaine."
"He completed his homework on time.","Il a terminé ses devoirs à temps."
"The train arrives at the station at 5 PM.","Le train arrive à la gare à 17 heures."
