source,reference
"India is a country full of diversity.","भारत हा विविधतेने भरलेला देश आहे."
"The student submitted the application yesterday.","विद्यार्थ्याने काल अर्ज सादर केला."
"Education is the key to success.","शिक्षण हीच यशाची गुरुकिल्ली आहे."
"Please read the instructions carefully.","कृपया सूचना काळजीपूर्वक वाचा."
"The weather is very pleasant today.","आज हवामान खूप छान आहे."
"She is going to the library.","ती ग्रंथालयात जात आहे."
"Water is essential for life.","पाणी जीवनासाठी आवश्यक आहे."
"The examination will be held next week.","परीक्षा पुढच्या आठवड्यात होईल."
"He completed his homework on time.","त्याने वेळेवर गृहपाठ पूर्ण केला."
"The train arrives at the station at 5 PM.","ट्रेन संध्याकाळी 5 वाजता स्टेशनवर पोहोचते."
"Good morning, how are you?","सुप्रभात, तुम्ही कसे आहात?"
"The book is on the table.","पुस्तक टेबलावर आहे."
"Children love to play in the park.","मुलांना बागेत खेळायला आवडते."
"Technology is changing the world.","तंत्रज्ञान जग बदलत आहे."
"The doctor advised him to rest.","डॉक्टरांनी त्याला विश्रांती घेण्याचा सल्ला दिला."
