source,reference
"India is a country full of diversity.","भारत विविधता से भरा देश है।"
"The student submitted the application yesterday.","छात्र ने कल आवेदन जमा किया।"
"Education is the key to success.","शिक्षा सफलता की कुंजी है।"
"Please read the instructions carefully.","कृपया निर्देशों को ध्यान से पढ़ें।"
"The weather is very pleasant today.","आज मौसम बहुत सुहावना है।"
"She is going to the library.","वह पुस्तकालय जा रही है।"
"Water is essential for life.","पानी जीवन के लिए आवश्यक है।"
"The examination will be held next week.","परीक्षा अगले सप्ताह होगी।"
"He completed his homework on time.","उसने अपना गृहकार्य समय पर पूरा किया।"
"The train arrives at the station at 5 PM.","ट्रेन शाम 5 बजे स्टेशन पर पहुँचती है।"
"Good morning, how are you?","सुप्रभात, आप कैसे हैं?"
"The book is on the table.","किताब मेज पर है।"
"Children love to play in the park.","बच्चे पार्क में खेलना पसंद करते हैं।"
"Technology is changing the world.","तकनीक दुनिया को बदल रही है।"
"The doctor advised him to rest.","डॉक्टर ने उसे आराम करने की सलाह दी।"
