source,reference
"भारत हा विविधतेने भरलेला देश आहे.","India is a country full of diversity."
"विद्यार्थ्याने काल अर्ज सादर केला.","The student submitted the application yesterday."
"शिक्षण हीच यशाची गुरुकिल्ली आहे.","Education is the key to success."
"कृपया सूचना काळजीपूर्वक वाचा.","Please read the instructions carefully."
"आज हवामान खूप छान आहे.","The weather is very pleasant today."
"ती ग्रंथालयात जात आहे.","She is going to the library."
"पाणी जीवनासाठी आवश्यक आहे.","Water is essential for life."
"परीक्षा पुढच्या आठवड्यात होईल.","The examination will be held next week."
"त्याने वेळेवर गृहपाठ पूर्ण केला.","He completed his homework on time."
"ट्रेन संध्याकाळी 5 वाजता स्टेशनवर पोहोचते.","The train arrives at the station at 5 PM."
