source,reference
"India is a country full of diversity.","ভারত বৈচিত্র্যে ভরা একটি দেশ।"
"The student submitted the application yesterday.","ছাত্রটি গতকাল আবেদন জমা দিয়েছে।"
"Education is the key to success.","শিক্ষা সাফল্যের চাবিকাঠি।"
"Please read the instructions carefully.","অনুগ্রহ করে নির্দেশাবলী মনোযোগ সহকারে পড়ুন।"
"The weather is very pleasant today.","আজ আবহাওয়া খুব মনোরম।"
"She is going to the library.","সে গ্রন্থাগারে যাচ্ছে।"
"Water is essential for life.","জীবনের জন্য জল অপরিহার্য।"
"The examination will be held next week.","আগামী সপ্তাহে পরীক্ষা অনুষ্ঠিত হবে।"
"He completed his homework on time.","সে সময়মতো তার বাড়ির কাজ শেষ করেছে।"
"The train arrives at the station at 5 PM.","ট্রেন বিকেল ৫টায় স্টেশনে পৌঁছায়।"
