source,reference
"India is a country full of diversity.","Indien ist ein Land voller Vielfalt."
"The student submitted the application yesterday.","Der Student hat die Bewerbung gestern eingereicht."
"Education is the key to success.","Bildung ist der Schlüssel zum Erfolg."
"Please read the instructions carefully.","Bitte lesen Sie die Anweisungen sorgfältig."
"The weather is very pleasant today.","Das Wetter ist heute sehr angenehm."
"She is going to the library.","Sie geht in die Bibliothek."
"Water is essential for life.","Wasser ist lebensnotwendig."
"The examination will be held next week.","Die Prüfung findet nächste Woche statt."
"He completed his homework on time.","Er hat seine Hausaufgaben rechtzeitig erledigt."
"The train arrives at the station at 5 PM.","Der Zug kommt um 17 Uhr am Bahnhof an."
